X1,Y1
0,0
0.002,147.227451
0.004,200.670943
0.006,221.451342
0.008,219.559699
0.01,207.977831
0.012,194.44868
0.014,181.273013
0.016,168.836862
0.018,157.099769
0.02,145.977229
0.022,135.400698
0.024,125.320122
0.0261,115.789399
0.0281,106.711879
0.0301,98.0504602
0.0321,89.7880718
0.0341,81.9092765
0.0361,74.4792446
0.0381,67.4732029
0.0401,60.8165301
0.0421,54.496184
0.0441,48.5576726
0.0461,43.0446491
0.0481,37.8352702
0.0501,32.9169817
0.0521,28.406918
0.0541,24.228055
0.0561,20.3083791
0.0581,16.7118795
0.0601,13.486037
0.0621,10.4903961
0.0641,7.78097939
0.0661,5.44110872
0.0681,3.30562145
0.0701,1.4651122
0.0721,-0.048779828
0.0741,-1.38468342
0.0762,-2.38027284
0.0782,-3.14586842
0.0802,-3.74453957
0.0822,-4.00259253
0.0842,-4.15334478
0.0862,-4.08688094
0.0882,-3.8757876
0.0902,-3.56999086
0.0922,-3.12262494
0.0942,-2.64712004
0.0962,-2.11010803
0.0982,-1.57686777
0.1002,-1.04976853
0.1022,-0.565474096
0.1042,-0.111942769
0.1062,0.25382181
0.1082,0.590906886
0.1102,0.810608733
0.1122,1.0158543
0.1142,1.1121037
0.1162,1.20245828
0.1182,1.23137818
0.1202,1.25684193
0.1222,1.26045733
0.1242,1.26461685
0.1263,1.27177243
0.1283,1.28138601
0.1303,1.3063259
0.1323,1.33308221
0.1343,1.37826335
0.1363,1.42357429
0.1383,1.48562063
0.1403,1.54766708
0.1423,1.61994947
0.1443,1.69347739
0.1463,1.77197054
0.1483,1.85220223
0.1503,1.93446991
0.1523,2.01837276
0.1543,2.10258714
0.1563,2.18742667
0.1583,2.27216166
0.1603,2.35559465
0.1623,2.43902742
0.1643,2.52259569
0.1663,2.60620238
0.1683,2.69303983
0.1703,2.78389081
0.1723,2.87584122
0.1743,2.98140943
0.1764,3.0869781
0.1784,3.20450892
0.1804,3.32807703
0.1824,3.45412106
0.1844,3.58920428
0.1864,3.72428726
0.1884,3.86120984
0.1904,3.99882905
0.1924,4.13601333
0.1944,4.27139737
0.1964,4.40678094
0.1984,4.53659892
0.2004,4.66304366
0.2024,4.78940923
0.2044,4.90654912
0.2064,5.02368947
0.2084,5.14064077
0.2104,5.25724143
0.2124,5.37384255
0.2144,5.49232448
0.2164,5.61181409
0.2184,5.73130418
0.2204,5.85209159
0.2224,5.97301451
0.2244,6.09388016
0.2265,6.21431181
0.2285,6.33474346
0.2305,6.45348663
0.2325,6.56790147
0.2345,6.68231677
