t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
0,33.32203,33.380972,33.40405,33.46066,33.364187,33.37375,27.575931,29.168472,28.5,23.41948,27.8,26.34694
0.25,33.32203,33.386168,33.406134,33.457544,33.374571,33.345691,27.68089,29.231899,28.5,23.53412,27.7,26.56256
0.5,33.37401,33.40695,33.442601,33.50532,33.421299,33.370632,27.820143,29.250616,28.5,23.53412,27.6,26.56256
0.75,33.436386,33.445396,33.488444,33.517783,33.43376,33.38622,27.964592,29.344198,28.5,23.53412,27.6,26.67037
1,33.414554,33.450592,33.467606,33.508436,33.422338,33.384142,27.964592,29.307805,28.5,23.64876,27.6,26.56256
1.25,33.352178,33.393441,33.433223,33.51259,33.382878,33.38622,28.000964,29.266213,28.4,23.746204,27.6,26.67037
1.5,33.352178,33.379933,33.416553,33.471046,33.396378,33.384142,27.931338,29.236059,28.4,23.746204,27.5,26.67037
1.75,33.460296,33.494234,33.520743,33.546864,33.45972,33.435062,27.803516,29.191347,28.4,23.631564,27.5,26.67037
2,33.433267,33.480726,33.499905,33.534401,33.426491,33.418435,27.820143,29.039536,28.4,23.746204,27.4,26.88599
2.25,33.369851,33.420458,33.462397,33.511551,33.425453,33.408043,27.593598,28.978188,28.3,23.729008,27.4,26.88599
2.5,33.354257,33.423575,33.443642,33.508436,33.406762,33.416357,27.503187,28.912681,28.3,23.843648,27.3,26.9938
2.75,33.473811,33.512938,33.566587,33.568674,33.481526,33.445454,27.367052,28.881487,28.2,23.941092,27.3,26.88599
3,33.468613,33.49943,33.532204,33.56452,33.464912,33.453768,27.26521,28.746313,28.2,23.941092,27.3,26.9938
3.25,33.378168,33.449553,33.475941,33.530246,33.441029,33.435062,27.182074,28.643373,28.2,23.941092,27.3,26.9938
3.5,33.402079,33.442279,33.482193,33.510513,33.435837,33.428827,27.129075,28.495721,28.1,24.038536,27.3,27.10161
3.75,33.506039,33.531642,33.548874,33.617489,33.500218,33.483905,27.079194,28.557069,28.1,24.153176,27.3,27.10161
4,33.462376,33.482804,33.543665,33.587369,33.476334,33.458964,27.066723,28.486363,28.1,24.153176,27.2,27.20942
4.25,33.385445,33.440201,33.48636,33.548941,33.47945,33.455846,27.042822,28.479084,28.1,24.153176,27.2,27.20942
4.5,33.395841,33.448514,33.471774,33.532323,33.449336,33.447533,27.051135,28.432293,28.1,24.267816,27.2,27.31723
4.75,33.516435,33.552424,33.572838,33.61645,33.504371,33.484944,27.144663,28.470766,28.1,24.382456,27.2,27.42504
5,33.456138,33.484882,33.511366,33.572829,33.500218,33.482866,27.128036,28.386542,28,24.36526,27.2,27.53285
5.25,33.420792,33.473452,33.507198,33.56452,33.498141,33.474552,27.133232,28.401099,28,24.36526,27.2,27.53285
5.5,33.404158,33.467218,33.505115,33.56452,33.475296,33.454807,27.121801,28.387582,28,24.4799,27.1,27.53285
5.75,33.507078,33.56801,33.583257,33.626836,33.541754,33.50365,27.163369,28.364706,28,24.4799,27.1,27.64066
6,33.455098,33.507742,33.534288,33.605025,33.515794,33.49014,27.170643,28.323114,27.9,24.691984,27.1,27.74847
6.25,33.441584,33.491117,33.534288,33.588408,33.522024,33.49014,27.107252,28.389661,27.8,24.904068,27.1,27.74847
6.5,33.42495,33.477609,33.514492,33.590485,33.513717,33.47663,27.098938,28.323114,27.8,25.018708,27,27.85628
6.75,33.507078,33.548267,33.587425,33.633068,33.559406,33.519238,27.050096,28.233691,27.8,24.904068,27,27.96409
7,33.462376,33.504625,33.566587,33.603987,33.547984,33.510924,27.051135,28.228492,27.8,25.018708,27,28.0719
7.25,33.460296,33.509821,33.541581,33.584253,33.515794,33.497414,27.010606,28.19002,27.8,25.018708,27,28.17971
7.5,33.454059,33.505664,33.548874,33.590485,33.523062,33.489101,26.999175,28.141149,27.8,25.018708,27,28.28752
7.75,33.495643,33.53372,33.59055,33.624759,33.564598,33.535865,27.028273,28.108915,27.8,25.247988,27,28.39533
8,33.47589,33.539955,33.560335,33.627875,33.536562,33.521316,26.959686,28.067323,27.8,25.362628,26.9,28.50314
8.25,33.459257,33.517094,33.563461,33.622682,33.536562,33.507806,26.918118,28.070443,27.8,25.362628,26.9,28.61095
8.5,33.456138,33.515016,33.564503,33.593601,33.541754,33.509885,26.898373,27.992458,27.7,25.460072,26.9,28.71876
8.75,33.488366,33.530603,33.581173,33.657994,33.580174,33.551453,26.958646,28.055886,27.7,25.574712,26.9,28.71876
9,33.491484,33.542033,33.581173,33.649685,33.558368,33.52859,26.933706,27.997657,27.7,25.689352,26.9,28.82657
9.25,33.466534,33.513977,33.546791,33.620604,33.541754,33.506767,26.948254,27.989338,27.7,25.803992,26.9,28.93438
9.5,33.526831,33.576323,33.606179,33.665264,33.59575,33.567041,26.960725,28.024692,27.6,25.786796,26.8,29.04219
9.75,33.513316,33.565932,33.597844,33.656955,33.579136,33.563923,26.957607,27.955025,27.6,25.901436,26.8,29.04219
10,33.47693,33.529564,33.587425,33.652801,33.554214,33.553531,26.900451,27.916552,27.6,26.130716,26.8,29.15
10.25,33.441584,33.517094,33.548874,33.622682,33.565637,33.533786,26.891098,27.937348,27.6,26.130716,26.8,29.25781
10.5,33.525791,33.586714,33.615556,33.672534,33.597827,33.585746,26.921235,27.899916,27.6,26.245356,26.8,29.36562
10.75,33.509158,33.564893,33.610346,33.66111,33.586405,33.560806,26.962803,27.835448,27.6,26.359996,26.8,29.36562
