Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
0,30.948623,30.948439,30.944124,31.032413,30.902141,30.86616,30.793294,30.949649,30.901847,33.069857,32.993931,33.015894,33.033757,33.056253,32.962134,33.1,56.882896
0.25,30.985009,30.939087,30.951418,31.025143,30.89591,30.854729,30.782902,30.970445,30.914313,32.9556,32.918091,32.924365,32.903969,32.977342,32.868678,33,56.8657
0.5,30.98189,30.943244,30.944124,31.029297,30.89591,30.882787,30.774589,30.961087,30.916391,32.943135,32.902508,32.913964,32.93408,32.964882,32.88737,33,56.75106
0.75,30.979811,30.920383,30.944124,31.026182,30.899026,30.876552,30.763158,30.957967,30.904963,33.064663,32.946141,33.009654,32.997416,33.066636,32.923714,33.1,56.768256
1,30.98189,30.937009,30.960795,31.029297,30.904218,30.86616,30.768354,30.961087,30.904963,33.058431,32.996009,32.97117,33.005723,33.050023,32.920598,33.1,56.768256
1.25,30.973573,30.928696,30.96392,31.01268,30.902141,30.871356,30.751726,30.957967,30.888341,32.981567,32.93783,32.949328,32.955884,33.019912,32.920598,33,56.8657
1.5,30.971494,30.937009,30.938915,31.01268,30.902141,30.859925,30.763158,30.961087,30.899769,33.106211,32.935752,33.002373,32.972497,33.12478,32.797029,33,56.98034
1.75,30.98189,30.937009,30.942041,31.024104,30.882411,30.882787,30.768354,30.961087,30.918469,33.138411,33.024059,32.937887,33.020259,33.152814,32.805336,33,56.98034
2,30.971494,30.937009,30.942041,31.01268,30.885526,30.854729,30.763158,30.963166,30.913275,33.171649,33.131066,32.941007,33.020259,33.188117,32.760685,33,56.8657
2.25,30.95486,30.904797,30.960795,31.015796,30.885526,30.859925,30.757962,30.961087,30.901847,33.183075,33.134182,32.965969,33.022336,33.174619,32.810528,33,56.8657
2.5,31.00892,30.953635,30.979549,31.051108,30.896949,30.873434,30.769393,30.957967,30.915352,33.183075,33.133143,33.024215,33.060753,33.17981,32.784568,33,57.09498
2.75,31.096246,31.057545,31.06811,31.094729,30.957176,30.936826,30.803686,31.001639,30.940286,33.270326,33.064576,33.005493,33.051408,33.226534,32.856218,33,57.89746
3,31.096246,31.044036,31.025393,31.091613,30.970675,30.898375,30.806804,30.973564,30.933014,33.230855,33.101976,33.001333,33.057638,33.188117,32.794952,33,57.55354
3.25,31.028672,30.968182,31.008722,31.07915,30.934331,30.915002,30.820314,30.99748,30.949636,33.191384,33.077043,33.017974,33.060753,33.210959,32.834411,33,57.66818
3.5,31.005801,30.992081,31.016015,31.078112,30.944715,30.917081,30.808882,31.001639,30.964181,33.135295,33.10821,32.97013,33.046216,33.129972,32.884254,33,57.66818
3.75,30.995405,30.975456,30.993094,31.061494,30.936408,30.917081,30.803686,31.003719,30.950675,33.025192,33.001203,32.954528,32.999493,33.046908,32.884254,33,57.55354
4,31.003722,30.969221,30.99101,31.072919,30.90941,30.920198,30.792255,30.981883,30.94548,32.980528,32.943025,32.887962,32.949655,32.933733,32.792875,33,57.4389
4.25,30.992286,30.953635,30.99101,31.047992,30.922909,30.881748,30.795373,30.985002,30.950675,32.883929,32.890041,32.859879,32.908123,32.883895,32.68592,33,57.32426
4.5,31.107682,31.047154,31.062901,31.125887,30.988328,30.960727,30.82551,31.026594,30.964181,32.890161,32.886924,32.858839,32.910199,32.901546,32.677613,33,57.4389
4.75,31.087929,31.029489,31.05665,31.130042,30.992482,30.949296,30.848372,31.035952,31.005737,32.8912,32.910819,32.890042,32.949655,32.907776,32.68592,33,57.20962
