t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),112 (C),113 (C),114 (C),115 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
0,33.656781,33.831942,33.88124,34.085897,34.069261,34.193678,33.986756,34.150153,34.876678,34.878713,34.846629,34.822401,34.69107,34,87.99046,33.9,84.1331
0.25,33.756582,33.894288,33.945838,34.140943,34.098336,34.215502,34.023128,34.134556,34.892262,34.907836,34.827939,34.818248,34.75649,34,87.99046,33.9,84.24091
0.5,33.756582,33.87974,33.97397,34.140943,34.123258,34.218619,34.039755,34.142875,34.942129,34.962961,34.850782,34.868086,34.783488,34,88.1051,33.9,84.24091
0.75,33.756582,33.882858,33.971886,34.131596,34.111835,34.213423,34.044951,34.143915,34.946284,34.961921,34.85182,34.88989,34.838523,34,88.1051,33.9,84.24091
1,33.674454,33.803886,33.885408,34.071357,34.061992,34.193678,34.003383,34.122079,34.925506,34.980643,34.871548,34.904427,34.850984,34,88.1051,33.9,84.24091
1.25,33.677573,33.825707,33.888534,34.082781,34.064069,34.201992,34.009618,34.137676,34.963946,35.022247,34.90685,34.934537,34.884213,34,88.21974,33.9,84.34872
1.5,33.691088,33.817394,33.910414,34.079666,34.067184,34.183286,34.028324,34.157432,34.986801,35.017047,34.937999,34.959456,34.925749,34,88.21974,33.9,83.91748
1.75,33.701484,33.866232,33.927084,34.087974,34.078606,34.1916,34.008579,34.119999,34.989918,35.029528,34.889199,34.943882,34.873829,34,87.07334,33.8,80.25194
2,33.652622,33.795573,33.858319,34.060971,34.026686,34.172894,33.974286,34.11688,34.975374,35.028488,34.899582,34.940767,34.91848,33.9,81.668064,33.7,72.59743
2.25,33.664058,33.79869,33.888534,34.060971,34.048493,34.186404,34.004422,34.125198,35.008618,35.05553,34.951497,34.995797,34.931979,33.7,72.233192,33.4,62.46329
2.5,33.68589,33.815316,33.916665,34.094206,34.059915,34.186404,34.015854,34.147034,35.039785,35.063851,34.946305,35.020716,34.965208,33.4,61.061524,33.2,52.22134
2.75,33.650543,33.789339,33.860402,34.043315,34.031878,34.164581,33.965972,34.085686,34.999268,35.05137,34.899582,34.958418,34.929902,33.3,50.268168,33,42.94968
3,33.647424,33.779987,33.867696,34.055778,34.029802,34.147954,33.971168,34.100243,35.028357,35.05657,34.929693,34.987491,34.963131,33,40.93074,32.7,35.6186
3.25,33.650543,33.793495,33.872905,34.053701,34.046416,34.161463,34.010658,34.138716,35.053291,35.086733,34.962918,35.040444,34.968323,32.8,33.559388,32.5,30.33591
3.5,33.700444,33.819472,33.902078,34.092129,34.05057,34.172894,33.991952,34.126238,35.052252,35.118976,34.967071,35.044597,34.999475,32.6,28.595476,32.2,26.9938
3.75,33.626632,33.75297,33.840606,34.006964,34.013187,34.134444,33.952462,34.078407,35.02628,35.062811,34.947344,35.023831,34.97663,32.3,25.333968,31.9,24.8376
4,33.626632,33.772713,33.854151,34.040199,34.029802,34.162502,33.972207,34.101283,35.039785,35.089854,34.963957,35.04875,35.001552,32.1,23.465336,31.7,23.86731
4.25,33.653662,33.789339,33.862486,34.048508,34.032917,34.159385,33.975325,34.098163,35.084458,35.123137,35.007565,35.078861,34.998437,31.9,22.513824,31.5,23.32826
4.5,33.576732,33.729071,33.813517,34.006964,33.986189,34.099111,33.94207,34.06281,35.021085,35.074252,34.939037,35.021754,34.969362,31.8,22.038068,31.4,23.00483
4.75,33.621434,33.754009,33.832271,34.023581,34.005918,34.124052,33.958698,34.076328,35.03563,35.079453,34.928654,35.013448,34.949632,31.7,21.676952,31.4,22.78921
5,33.643266,33.79869,33.833313,34.023581,34.00488,34.143797,33.971168,34.083606,34.868367,34.903676,34.74176,34.852512,34.735722,31.7,21.333032,31.5,22.57359
5.25,33.591286,33.699976,33.80414,33.975806,33.970613,34.091837,33.931678,34.039935,34.573319,34.618688,34.467649,34.5296,34.417971,31.8,21.235588,31.6,22.35797
5.5,33.588167,33.736344,33.801014,33.973728,33.970613,34.105346,33.948306,34.050333,34.388395,34.405468,34.272449,34.286638,34.123066,31.9,21.023504,31.7,22.14235
5.75,33.665098,33.781026,33.848942,34.042276,34.013187,34.130287,33.918169,34.052412,34.16607,34.136082,34.06998,33.957497,33.774163,32,20.81142,31.8,22.03454
6,33.624553,33.746735,33.833313,33.999693,34.000726,34.110542,33.902581,34.06177,33.951018,33.827172,33.876856,33.636662,33.400339,32.1,20.599336,31.9,21.81892
6.25,33.629751,33.748814,33.816643,33.970613,33.958152,34.094954,33.85166,34.008741,33.631037,33.438175,33.545639,33.196423,32.927867,32.2,20.501892,32,21.71111
6.5,33.644306,33.754009,33.816643,33.995539,33.994496,34.097033,33.874522,34.027457,33.394168,33.144867,33.308906,32.856899,32.546774,32.3,20.289808,32,21.49549
6.75,33.701484,33.812199,33.882282,34.033967,33.988266,34.121974,33.870366,34.042014,33.078342,32.753789,32.979765,32.424966,32.097147,32.3,20.175168,32,21.38768
7,33.611038,33.722836,33.785386,33.963342,33.938422,34.078327,33.826719,33.982746,32.822773,32.477122,32.719152,32.05637,31.69321,32.3,20.060528,32,21.27987
7.25,33.635989,33.7644,33.82602,34.004886,33.963344,34.078327,33.811131,33.974427,32.613954,32.13597,32.533296,31.797833,31.393112,32.3,19.945888,31.9,21.17206
7.5,33.666137,33.785182,33.836439,34.003848,33.975805,34.086641,33.848542,33.992104,32.595254,32.13805,32.345364,31.746956,31.369229,32.3,19.831248,31.9,21.17206
7.75,33.7098,33.81116,33.866654,34.040199,33.994496,34.125091,33.86517,34.021218,32.659665,32.217097,32.451271,31.827944,31.53745,32.2,19.699412,31.8,21.06425
8,33.625593,33.724914,33.797888,33.963342,33.97269,34.034681,33.868287,33.976507,32.71161,32.321107,32.448156,31.986804,31.728515,32.1,19.567576,31.7,21.06425
8.25,33.639108,33.74154,33.831229,33.97996,33.940499,34.059622,33.810092,33.981706,32.819656,32.497925,32.651662,32.193425,31.958002,32,19.43574,31.6,20.95644
8.5,33.721236,33.807003,33.862486,34.004886,33.979958,34.07417,33.818406,33.971308,32.991075,32.609215,32.759646,32.34294,32.177104,32,19.43574,31.6,20.95644
8.75,33.682771,33.789339,33.861444,33.993462,33.942576,34.04923,33.805935,33.967149,33.082498,32.790193,32.827135,32.565137,32.379592,31.9,19.418544,31.5,20.95644
9,33.674454,33.721797,33.835397,33.97996,33.93323,34.019093,33.788269,33.946353,33.148987,32.907724,32.915391,32.66066,32.49797,31.9,19.303904,31.4,20.95644
9.25,33.689008,33.7883,33.840606,33.988269,33.93323,34.054426,33.811131,33.979626,33.209244,32.987812,33.020259,32.765529,32.62777,31.8,19.401348,31.4,20.95644
9.5,33.759701,33.828824,33.885408,34.028774,33.984112,34.062739,33.796582,33.969228,33.266383,32.981571,33.007799,32.765529,32.607002,31.8,19.286708,31.3,20.95644
9.75,33.65886,33.740501,33.80414,33.960227,33.906232,34.025328,33.78619,33.931795,33.21236,32.978451,33.002608,32.786295,32.624654,31.7,19.384152,31.3,20.95644
10,33.705642,33.792456,33.82602,33.957111,33.944653,33.994152,33.775798,33.940114,33.180154,32.913964,32.943425,32.729188,32.531198,31.7,19.384152,31.3,20.95644
10.25,33.73579,33.818433,33.852067,34.003848,33.960229,34.047151,33.809053,33.947392,33.142754,32.813075,32.906046,32.617052,32.463702,31.7,19.384152,31.3,20.95644
10.5,33.650543,33.744657,33.807266,33.956072,33.891694,34.003505,33.776838,33.933875,33.059642,32.749629,32.822982,32.521528,32.34844,31.7,19.384152,31.4,20.95644
10.75,33.68381,33.772713,33.814559,33.960227,33.919731,34.008701,33.759171,33.917238,32.936013,32.604015,32.657892,32.400047,32.180219,31.8,19.286708,31.4,20.84863
11,33.697325,33.756087,33.841648,33.968535,33.903117,34.017014,33.778916,33.914119,32.847706,32.529127,32.619475,32.270259,32.100262,31.8,19.172068,31.4,20.84863
11.25,33.705642,33.790378,33.833313,33.968535,33.908309,34.000387,33.753975,33.879805,32.754205,32.384554,32.472037,32.139434,31.915427,31.8,19.172068,31.3,20.74082
11.5,33.673414,33.760244,33.809349,33.958149,33.890656,33.986878,33.756054,33.913079,32.662782,32.296145,32.400394,32.042872,31.837547,31.8,19.172068,31.3,20.74082
11.75,33.722276,33.797651,33.82081,33.952956,33.895848,33.993113,33.736309,33.898522,32.539153,32.164052,32.343287,31.901663,31.713978,31.8,19.057428,31.4,20.74082
12,33.73579,33.791417,33.848942,33.985153,33.918693,34.00974,33.752936,33.893323,32.539153,32.127649,32.26853,31.888165,31.652712,31.8,19.057428,31.3,20.74082
12.25,33.772176,33.829863,33.871863,33.993462,33.937384,34.011818,33.782034,33.928676,32.516297,32.112047,32.221806,31.838327,31.644405,31.8,19.057428,31.3,20.63301
12.5,33.802325,33.871427,33.906246,34.011118,33.953998,34.036759,33.769563,33.923477,32.471625,32.088125,32.225959,31.841442,31.622598,31.8,18.942788,31.3,20.63301
12.75,33.854305,33.880779,33.912497,34.056816,33.962306,34.031563,33.795543,33.916198,32.524608,32.103727,32.203117,31.84248,31.625714,31.7,18.925592,31.3,20.63301
13,33.926037,33.945204,33.989598,34.089013,34.002803,34.045073,33.803857,33.943233,32.534997,32.108927,32.197925,31.844556,31.654789,31.7,18.925592,31.3,20.63301
13.25,33.832473,33.884936,33.929168,34.037083,33.941538,34.029485,33.790347,33.913079,32.550581,32.127649,32.226998,31.899586,31.69944,31.7,18.925592,31.2,20.5252
13.5,33.857424,33.896366,33.940629,34.041237,33.965421,34.015975,33.770602,33.924517,32.493441,32.086045,32.183389,31.889203,31.695286,31.7,18.810952,31.2,20.63301
13.75,33.86574,33.907796,33.945838,34.042276,33.969574,34.026367,33.788269,33.921397,32.549542,32.170293,32.264377,31.941118,31.77732,31.7,18.810952,31.2,20.5252
14,33.882374,33.917148,33.941671,34.071357,33.974766,34.059622,33.788269,33.945313,32.556814,32.195255,32.234266,31.989918,31.782512,31.6,18.793756,31.2,20.5252
14.25,33.953067,33.986768,34.00731,34.104592,34.006957,34.056504,33.804896,33.932835,32.527725,32.176534,32.222845,31.977459,31.767974,31.6,18.793756,31.2,20.63301
14.5,33.964502,33.986768,34.00731,34.114978,33.987227,34.062739,33.83815,33.943233,32.519414,32.211897,32.242572,31.985765,31.808472,31.6,18.793756,31.2,20.63301
14.75,33.914602,33.948321,33.96876,34.087974,33.976843,34.034681,33.791386,33.969228,32.514219,32.146371,32.220768,31.95254,31.817818,31.6,18.908396,31.1,20.63301
15,33.915641,33.94936,33.969802,34.057855,33.966459,34.024289,33.772681,33.919318,32.495519,32.132849,32.17093,31.970191,31.776282,31.6,18.793756,31.2,20.63301
15.25,33.857424,33.895327,33.921875,34.023581,33.950883,34.024289,33.768524,33.90684,32.522531,32.131809,32.161585,31.924506,31.742014,31.6,18.908396,31.2,20.63301
15.5,33.860542,33.894288,33.919791,34.03916,33.924923,33.958819,33.739426,33.878766,32.42903,32.067323,32.119015,31.857016,31.69944,31.6,18.908396,31.2,20.63301
15.75,33.879255,33.89117,33.914581,34.027736,33.911424,34.007662,33.762289,33.900601,32.423835,32.059002,32.119015,31.860131,31.712939,31.6,18.908396,31.2,20.63301
16,33.833513,33.871427,33.90833,34.001771,33.940499,33.994152,33.766446,33.893323,32.377085,32.054842,32.09098,31.877782,31.686979,31.6,18.908396,31.2,20.63301
16.25,33.81376,33.855841,33.86978,33.986192,33.909347,33.975446,33.732152,33.878766,32.364618,31.997636,32.031797,31.788488,31.600792,31.6,18.908396,31.2,20.63301
16.5,33.833513,33.875584,33.934377,33.997616,33.909347,33.980642,33.759171,33.883965,32.358384,31.984115,32.015185,31.808216,31.578986,31.6,18.908396,31.2,20.63301
16.75,33.863661,33.890131,33.896869,33.996578,33.940499,33.992074,33.752936,33.899562,32.309556,31.948752,31.99338,31.737612,31.591446,31.6,18.908396,31.2,20.63301
17,33.882374,33.893249,33.918749,34.028774,33.928038,33.992074,33.76021,33.899562,32.264883,31.896747,31.979882,31.727229,31.53745,31.6,18.793756,31.1,20.63301
17.25,33.795048,33.85688,33.848942,33.976844,33.887541,33.951545,33.726956,33.888124,32.278389,31.923789,31.954963,31.716846,31.565486,31.6,18.793756,31.1,20.63301
17.5,33.853265,33.892209,33.90833,33.999693,33.902078,33.956741,33.740466,33.885004,32.229561,31.892586,31.95081,31.701271,31.544718,31.6,18.793756,31.1,20.63301
