07-Mar,1,1,nan,nan,nan,1,0,0,0,0
08-Mar,1,0,nan,nan,nan,1,0,0,0,0
09-Mar,1,0,0.059,1.69,1.69,1,0,0,0,0
10-Mar,1,0,0.07,1.43,1.43,1,0,0,0,0
11-Mar,1,0,0.074,1.35,1.35,1,0,0,0,0
12-Mar,1,0,0.074,1.35,1.35,1,0,0,0,0
13-Mar,1,0,0.077,1.3,1.3,1,0,0,0,0
14-Mar,1,0,0.079,1.27,1.27,1,0,0,0,0
15-Mar,1,0,0.086,1.16,1.16,1,0,0,0,0
16-Mar,1,0,0.096,1.04,1.04,1,0,0,0,0
17-Mar,1,0,0.139,0.72,0.72,1,0,0,0,0
18-Mar,2,1,0.234,0.85,0.85,2,0,0,0,0
19-Mar,3,1,0.235,1.28,0.85,2,0,1,0,0
20-Mar,3,0,0.306,0.98,0.65,2,0,1,0,0
21-Mar,6,3,0.345,1.74,1.45,5,0,1,0,0
22-Mar,7,1,0.359,1.95,1.67,6,0,1,0,0
23-Mar,9,2,0.512,1.76,1.56,8,0,1,0,0
24-Mar,15,6,0.623,2.41,2.25,14,0,1,0,0
25-Mar,23,8,0.78,2.95,2.69,21,1,1,1,4.35
26-Mar,29,6,0.962,3.01,2.81,27,1,1,1,3.45
27-Mar,38,9,1.195,3.18,3.01,36,1,1,1,2.63
28-Mar,42,4,1.435,2.93,2.72,39,1,2,1,2.38
29-Mar,50,8,1.682,2.97,2.79,47,1,2,1,2
30-Mar,67,17,1.92,3.49,3.13,60,1,6,1,1.49
31-Mar,124,57,2.354,5.27,4.97,117,1,6,1,0.81
01-Apr,234,110,2.726,8.58,8.33,227,1,6,1,0.43
02-Apr,309,75,2.868,10.77,10.5,301,1,7,1,0.32
03-Apr,411,102,3.2,12.84,12.59,403,1,7,1,0.24
04-Apr,485,74,3.841,12.63,12.34,474,3,8,3,0.62
05-Apr,571,86,4.273,13.36,13.06,558,5,8,5,0.88
06-Apr,621,50,4.72,13.16,12.86,607,6,8,6,0.97
07-Apr,690,69,5.104,13.52,13.01,664,7,19,7,1.01
08-Apr,738,48,5.631,13.11,12.59,709,8,21,8,1.08
09-Apr,834,96,6.658,12.53,12,799,8,27,8,0.96
10-Apr,911,77,7.749,11.76,11.07,858,9,44,9,0.99
11-Apr,969,58,8.748,11.08,10.46,915,10,44,10,1.03
12-Apr,1075,106,9.448,11.38,10.73,1014,11,50,11,1.02
13-Apr,1173,98,11.61,10.1,9.48,1101,11,58,11,0.94
14-Apr,1204,31,14.438,8.34,7.67,1108,12,81,12,1
15-Apr,1242,38,16.452,7.55,6.73,1107,14,118,14,1.13
16-Apr,1267,25,20.01,6.33,5.34,1069,15,180,15,1.18
17-Apr,1323,56,22.951,5.76,4.45,1022,15,283,15,1.13
18-Apr,1372,49,28.564,4.8,3.46,989,15,365,15,1.09
19-Apr,1477,105,33.33,4.43,3.14,1048,15,411,15,1.02
20-Apr,1520,43,39.602,3.84,2.63,1043,17,457,17,1.12
21-Apr,1596,76,45.178,3.53,2.08,940,18,635,18,1.13
22-Apr,1629,33,51.135,3.19,1.85,946,18,662,18,1.1
23-Apr,1683,54,58.519,2.88,1.55,908,20,752,20,1.19
24-Apr,1755,72,64.351,2.73,1.34,864,22,866,22,1.25
25-Apr,1821,66,71.211,2.56,1.17,835,23,960,23,1.26
26-Apr,1885,64,79.018,2.39,1.06,838,24,1020,24,1.27
27-Apr,1937,52,84.958,2.28,0.95,809,24,1101,24,1.24
28-Apr,2058,121,91.281,2.25,0.98,892,25,1138,25,1.21
29-Apr,2162,104,99.14,2.18,0.93,922,27,1210,27,1.25
30-Apr,2323,161,109.054,2.13,0.95,1035,27,1258,27,1.16
01-May,2526,203,118.098,2.14,1,1183,28,1312,28,1.11
02-May,2757,231,129.097,2.14,1.07,1384,29,1341,29,1.05
03-May,3023,266,139.152,2.17,1.16,1611,30,1379,30,0.99
04-May,3550,527,152.627,2.33,1.38,2107,31,1409,31,0.87
05-May,4058,508,164.751,2.46,1.54,2537,33,1485,33,0.81
06-May,4829,771,177.601,2.72,1.84,3275,35,1516,35,0.72
07-May,5409,580,191.378,2.83,2,3822,37,1547,37,0.68
08-May,6009,600,205.495,2.92,2.12,4361,40,1605,40,0.67
09-May,6535,526,218.847,2.99,2.13,4664,44,1824,44,0.67
10-May,7204,669,231.692,3.11,2.24,5195,47,1959,47,0.65
11-May,8002,798,242.617,3.3,2.43,5895,53,2051,53,0.66
12-May,8718,716,254.335,3.43,2.56,6520,61,2134,61,0.7
13-May,9227,509,267.768,3.45,2.61,6984,64,2176,64,0.69
14-May,9674,447,279.266,3.46,2.64,7365,66,2240,66,0.68
15-May,10108,434,289.955,3.49,2.56,7435,71,2599,71,0.70
16-May,10585,477,298.645,3.54,2.33,6970,74,3538,74,0.70
17-May,11224,639,315.026,3.56,2.21,6971,78,4172,78,0.69
18-May,11760,536,321.973,3.65,2.26,7270,81,4406,81,0.69
19-May,12448,688,331.465,3.76,2.25,7466,84,4895,84,0.67
20-May,13191,743,343.227,3.84,2.10,7219,87,5882,87,0.66
21-May,13967,776,355.226,3.93,2.14,7587,94,6283,94,0.67
22-May,14753,786,367.436,4.02,2.05,7524,98,7128,98,0.66
23-May,15512,759,379.199,4.09,2.09,7915,103,7491,103,0.66
