03-May,22,42,1190,11,13,1,8,0,12,31,7,1,0,45,3,11,0,8,1,9,6,9,1,29,16,1,1,25,6,10,0,7,6,4,5,57,13
04-May,28,46,1438,11,135,0,18,1,12,31,7,2,0,46,1,11,0,33,0,10,9,9,1,37,16,1,2,33,17,8,1,6,5,8,5,104,15
05-May,28,84,1668,4,203,0,24,1,50,31,4,2,0,46,1,26,4,33,0,10,9,10,0,38,15,6,2,46,15,7,1,6,2,9,5,128,16
06-May,216,93,1975,4,298,2,31,0,49,75,4,3,4,61,1,25,4,36,3,9,6,11,0,39,20,8,3,79,32,6,2,7,2,10,11,133,13
07-May,240,106,2281,4,330,2,31,0,54,77,4,5,8,55,1,25,4,69,4,9,13,11,0,36,22,11,5,141,49,5,3,10,2,11,12,171,11
08-May,240,131,2644,4,364,3,27,0,54,85,9,5,10,57,1,21,4,68,4,10,13,7,0,36,21,12,6,216,57,5,3,13,2,12,11,192,14
09-May,265,169,2757,4,367,3,28,0,55,101,8,5,10,41,1,22,3,90,4,9,21,7,0,36,21,13,9,228,70,4,3,21,2,14,11,256,6
10-May,269,206,3171,4,368,3,28,0,54,101,8,6,20,42,1,21,3,99,5,10,27,6,0,31,19,16,10,272,69,3,3,27,2,14,14,255,8
11-May,302,286,3632,4,367,5,29,0,54,105,8,6,20,46,1,21,3,98,5,14,28,6,0,31,22,16,10,374,79,3,6,27,2,14,14,248,9
12-May,334,320,4093,4,367,4,31,0,51,129,9,10,20,46,1,16,3,124,5,14,37,5,0,23,22,23,10,398,92,3,8,30,0,12,15,244,13
13-May,335,345,4470,0,384,4,31,0,51,132,9,12,20,38,3,16,3,125,5,14,35,5,0,21,23,28,10,406,115,3,9,35,0,11,13,251,13
14-May,335,358,4834,0,384,4,31,0,51,97,14,13,20,47,3,16,3,124,5,9,35,5,1,20,23,29,10,410,123,3,11,51,0,11,13,251,12
15-May,153,377,5114,0,378,4,30,0,47,104,18,12,20,54,3,0,3,109,5,9,36,0,1,22,18,35,10,429,126,3,20,72,0,11,13,176,14
16-May,34,389,5017,0,164,4,25,0,64,81,20,11,18,56,4,0,3,109,5,9,39,0,10,26,18,35,0,348,133,3,28,116,0,10,12,153,13
17-May,25,306,5220,0,157,3,23,0,56,78,20,27,20,51,5,0,3,106,5,9,35,9,14,24,10,35,8,363,110,3,40,129,0,5,11,30,16
18-May,27,344,5460,0,55,1,25,0,61,95,27,28,20,53,5,0,3,106,5,15,37,14,14,30,10,44,9,382,114,3,55,141,0,5,11,34,17
19-May,10,365,5691,0,42,1,19,0,67,87,32,34,2,53,6,0,3,48,5,17,38,14,14,28,9,45,7,380,114,2,60,155,0,6,7,31,18
20-May,10,423,5345,1,38,1,20,1,54,98,28,27,3,62,6,0,2,48,7,17,26,14,13,27,10,47,7,395,116,2,82,163,0,2,7,38,24
21-May,7,416,5681,0,19,1,25,0,62,106,25,25,3,80,6,0,2,26,8,17,28,14,16,33,14,51,4,413,109,0,104,164,0,2,6,26,29
22-May,7,455,5523,0,15,0,26,1,60,98,24,25,4,111,5,0,2,6,11,25,29,14,16,32,14,49,4,424,98,3,108,177,0,6,9,24,52
23-May,7,481,5865,0,15,0,26,1,60,108,21,25,3,111,3,0,1,5,12,25,29,17,3,33,13,50,4,426,103,3,111,187,0,6,5,24,53
