Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,22605.000000,22799.900391,22420.300781,22706.599609,22706.599609,845
2023-01-27,22679.949219,22744.250000,22265.250000,22600.500000,22600.500000,1854
2023-01-30,22405.000000,22839.949219,22275.199219,22778.199219,22778.199219,1080
2023-01-31,22645.199219,23685.849609,22400.000000,23329.050781,23329.050781,5519
2023-02-01,23329.050781,23439.150391,22550.000000,22645.449219,22645.449219,2366
2023-02-02,22696.000000,23200.000000,22513.000000,23140.500000,23140.500000,2473
2023-02-03,23149.000000,23149.000000,22842.800781,23033.449219,23033.449219,971
2023-02-06,23100.000000,23189.150391,22500.000000,22612.400391,22612.400391,1316
2023-02-07,22677.949219,23198.000000,22641.199219,22900.050781,22900.050781,1490
2023-02-08,22900.050781,23500.000000,22750.400391,23117.800781,23117.800781,19538
2023-02-09,23250.000000,23994.949219,23250.000000,23528.349609,23528.349609,18960
2023-02-10,23630.000000,23969.000000,23323.000000,23420.349609,23420.349609,2825
