Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,907.000000,910.000000,890.099976,894.049988,894.049988,24179
2023-01-27,896.950012,913.200012,872.599976,877.500000,877.500000,29059
2023-01-30,887.450012,899.000000,857.400024,895.049988,895.049988,37319
2023-01-31,896.000000,896.349976,885.049988,890.549988,890.549988,13594
2023-02-01,895.000000,907.750000,873.099976,879.099976,879.099976,33071
2023-02-02,879.950012,893.349976,871.000000,875.099976,875.099976,28277
2023-02-03,882.950012,885.299988,868.049988,871.150024,871.150024,21049
2023-02-06,875.950012,887.250000,872.099976,873.650024,873.650024,15145
2023-02-07,880.000000,883.700012,872.099976,880.599976,880.599976,16005
2023-02-08,877.000000,904.150024,877.000000,895.599976,895.599976,25850
2023-02-09,899.950012,905.000000,891.299988,899.250000,899.250000,27714
2023-02-10,909.650024,909.650024,890.099976,898.849976,898.849976,19639
