Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,418.200012,428.750000,410.450012,412.299988,412.299988,261586
2023-01-27,414.350006,423.899994,393.799988,402.200012,402.200012,474746
2023-01-30,398.000000,409.649994,394.299988,399.500000,399.500000,216564
2023-01-31,401.950012,419.950012,401.250000,419.049988,419.049988,262457
2023-02-01,420.149994,440.600006,410.000000,414.850006,414.850006,858748
2023-02-02,415.000000,429.399994,410.000000,418.350006,418.350006,243922
2023-02-03,428.000000,428.000000,410.200012,418.700012,418.700012,253457
2023-02-06,419.500000,424.899994,412.049988,415.950012,415.950012,247843
2023-02-07,417.100006,420.000000,410.100006,415.000000,415.000000,191044
2023-02-08,417.049988,419.500000,411.000000,415.250000,415.250000,164620
2023-02-09,416.850006,416.850006,408.000000,410.149994,410.149994,231750
2023-02-10,412.000000,424.049988,408.100006,411.200012,411.200012,231472
