Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,497.000000,498.000000,450.700012,460.200012,460.200012,33646469
2023-01-27,457.500000,457.500000,345.149994,380.450012,380.450012,91035714
2023-01-30,400.000000,427.649994,352.000000,387.500000,387.500000,71717149
2023-01-31,394.000000,414.649994,390.100006,401.200012,401.200012,40532400
2023-02-01,409.200012,412.700012,320.500000,334.100006,334.100006,78282914
2023-02-02,355.000000,367.000000,315.299988,352.549988,352.549988,79579639
2023-02-03,351.950012,380.700012,318.500000,373.600006,373.600006,58296804
2023-02-06,371.000000,383.799988,358.450012,379.750000,379.750000,33168803
2023-02-07,384.500000,406.700012,371.700012,384.049988,384.049988,42723721
2023-02-08,393.649994,397.600006,382.000000,384.649994,384.649994,18573925
2023-02-09,378.000000,378.000000,354.000000,357.799988,357.799988,28134958
2023-02-10,354.750000,368.450012,350.000000,360.799988,360.799988,12021081
