Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,572.500000,573.650024,544.049988,544.049988,544.049988,3376652
2023-01-27,525.000000,527.650024,516.849976,516.849976,516.849976,981654
2023-01-30,491.000000,500.000000,491.000000,491.000000,491.000000,3176559
2023-01-31,466.450012,466.450012,466.450012,466.450012,466.450012,879002
2023-02-01,475.000000,488.700012,443.149994,443.149994,443.149994,10404690
2023-02-02,421.000000,421.000000,421.000000,421.000000,421.000000,362700
2023-02-03,399.950012,399.950012,399.950012,399.950012,399.950012,807229
2023-02-06,379.950012,379.950012,379.950012,379.950012,379.950012,665662
2023-02-07,360.950012,398.899994,360.950012,398.899994,398.899994,17681627
2023-02-08,416.299988,418.799988,415.000000,418.799988,418.799988,919480
2023-02-09,439.700012,439.700012,406.299988,439.700012,439.700012,12704925
2023-02-10,434.799988,456.950012,417.750000,435.899994,435.899994,8116825
