Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,5855.000000,5896.000000,5710.000000,5742.649902,5742.649902,9566
2023-01-27,5725.000000,5945.000000,5725.000000,5905.000000,5905.000000,30246
2023-01-30,5900.000000,6047.649902,5893.549805,5998.500000,5998.500000,47849
2023-01-31,5951.200195,5984.649902,5830.200195,5883.950195,5883.950195,39727
2023-02-01,5972.200195,6100.000000,5885.000000,6082.200195,6082.200195,103912
2023-02-02,6100.000000,6123.200195,5924.000000,6033.000000,6033.000000,52374
2023-02-03,6063.200195,6063.200195,5960.000000,6024.200195,6024.200195,18149
2023-02-06,6020.000000,6059.399902,5912.250000,5921.049805,5921.049805,24477
2023-02-07,5950.700195,6100.000000,5895.100098,6078.450195,6078.450195,59468
2023-02-08,6108.850098,6110.000000,6066.399902,6090.100098,6090.100098,16688
2023-02-09,6070.649902,6170.000000,6025.000000,6061.299805,6061.299805,11981
2023-02-10,6085.950195,6120.000000,6025.000000,6113.350098,6113.350098,21183
