Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,373.500000,374.700012,362.000000,363.649994,363.649994,924903
2023-01-27,365.000000,368.000000,358.750000,364.049988,364.049988,1344236
2023-01-30,363.950012,369.799988,360.000000,363.450012,363.450012,1120824
2023-01-31,366.000000,380.000000,362.100006,378.100006,378.100006,1363414
2023-02-01,382.950012,382.950012,363.399994,368.250000,368.250000,1393825
2023-02-02,367.850006,373.200012,364.500000,369.250000,369.250000,644511
2023-02-03,370.149994,371.649994,360.500000,365.649994,365.649994,579653
2023-02-06,365.649994,367.100006,356.000000,358.850006,358.850006,1568054
2023-02-07,359.799988,365.750000,357.799988,363.149994,363.149994,1580290
2023-02-08,363.200012,365.799988,359.299988,362.850006,362.850006,492870
2023-02-09,361.000000,364.649994,358.799988,362.850006,362.850006,563491
2023-02-10,362.850006,367.500000,360.049988,363.549988,363.549988,621001
