Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,100.199997,100.900002,98.800003,99.150002,98.529015,9232812
2023-01-27,99.599998,99.949997,92.449997,94.300003,93.709396,24624255
2023-01-30,92.949997,92.949997,87.000000,88.949997,88.392899,62828817
2023-01-31,90.300003,96.250000,89.050003,94.949997,94.355316,59004021
2023-02-01,97.000000,97.250000,89.050003,90.949997,90.380371,44092961
2023-02-02,89.550003,93.500000,88.300003,93.099998,92.516907,24502896
2023-02-03,93.400002,94.400002,91.699997,93.849998,93.262207,15906920
2023-02-06,93.500000,95.000000,93.199997,94.500000,93.908142,7015869
2023-02-07,94.500000,95.099998,93.750000,94.449997,93.858452,10315670
2023-02-08,94.949997,96.300003,94.349998,96.099998,95.498116,11577350
2023-02-09,96.349998,96.699997,95.550003,95.800003,95.199997,6577385
2023-02-10,95.550003,96.650002,95.349998,96.250000,96.250000,10685751
