Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1236.650024,1256.400024,1230.000000,1249.099976,1249.099976,23845
2023-01-27,1247.150024,1248.949951,1216.000000,1235.050049,1235.050049,32325
2023-01-30,1234.000000,1241.250000,1211.000000,1218.949951,1218.949951,30509
2023-01-31,1207.900024,1237.250000,1205.050049,1228.949951,1228.949951,140874
2023-02-01,1237.599976,1282.400024,1237.599976,1266.949951,1266.949951,210561
2023-02-02,1265.000000,1339.000000,1256.000000,1329.849976,1329.849976,251372
2023-02-03,1333.099976,1392.949951,1333.050049,1358.250000,1358.250000,239212
2023-02-06,1378.599976,1385.949951,1361.000000,1366.099976,1366.099976,70739
2023-02-07,1355.000000,1393.750000,1353.750000,1371.500000,1371.500000,50492
2023-02-08,1360.000000,1390.949951,1360.000000,1374.199951,1374.199951,31377
2023-02-09,1360.000000,1380.699951,1360.000000,1368.500000,1368.500000,15863
2023-02-10,1360.050049,1388.000000,1360.050049,1376.650024,1376.650024,27957
