Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,474.799988,477.600006,471.000000,473.850006,473.850006,82633
2023-01-27,473.850006,476.100006,460.000000,464.700012,464.700012,177177
2023-01-30,465.000000,476.700012,460.750000,471.450012,471.450012,160843
2023-01-31,470.899994,484.950012,469.950012,476.899994,476.899994,191262
2023-02-01,485.000000,534.000000,482.000000,509.600006,509.600006,1971857
2023-02-02,507.399994,528.849976,506.000000,513.799988,513.799988,364701
2023-02-03,525.000000,525.000000,500.000000,503.600006,503.600006,207383
2023-02-06,503.700012,504.950012,480.049988,483.149994,483.149994,211035
2023-02-07,484.899994,489.950012,475.950012,478.200012,478.200012,162118
2023-02-08,477.200012,485.000000,476.750000,479.700012,479.700012,110278
2023-02-09,479.850006,487.399994,476.750000,479.350006,479.350006,97125
2023-02-10,478.000000,488.000000,477.950012,483.649994,483.649994,73094
