Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,17025.000000,17039.900391,16670.000000,16720.349609,16720.349609,10286
2023-01-27,16720.349609,16899.900391,16366.049805,16696.099609,16696.099609,14922
2023-01-30,16750.000000,16849.500000,16545.000000,16590.699219,16590.699219,8527
2023-01-31,16601.000000,17149.949219,16600.000000,17028.599609,17028.599609,13928
2023-02-01,17100.000000,17340.000000,16780.000000,17118.050781,17118.050781,13466
2023-02-02,17118.050781,17285.000000,16987.900391,17168.699219,17168.699219,7224
2023-02-03,17100.000000,17445.000000,17083.099609,17415.449219,17415.449219,17688
2023-02-06,17581.000000,17599.900391,17311.000000,17449.550781,17449.550781,9895
2023-02-07,17480.000000,17480.000000,17270.099609,17414.900391,17414.900391,7133
2023-02-08,17406.000000,17493.150391,17282.000000,17447.449219,17447.449219,11346
2023-02-09,17320.000000,17623.949219,17320.000000,17524.800781,17524.800781,19549
2023-02-10,17520.000000,17562.699219,17400.000000,17499.000000,17499.000000,7263
