Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,119.000000,125.500000,117.050003,121.199997,121.199997,1127147
2023-01-27,121.199997,122.500000,119.199997,119.449997,119.449997,540614
2023-01-30,119.550003,120.199997,117.750000,118.400002,118.400002,350941
2023-01-31,118.050003,118.949997,117.550003,117.849998,117.849998,696236
2023-02-01,118.500000,120.400002,116.750000,118.150002,118.150002,725434
2023-02-02,118.500000,119.650002,117.500000,118.349998,118.349998,438600
2023-02-03,118.900002,119.500000,116.000000,116.500000,116.500000,568172
2023-02-06,117.199997,118.849998,114.199997,118.250000,118.250000,384181
2023-02-07,118.800003,119.699997,116.800003,119.400002,119.400002,548549
2023-02-08,120.000000,120.949997,118.449997,119.949997,119.949997,341757
2023-02-09,119.949997,120.300003,119.250000,119.699997,119.699997,212310
2023-02-10,119.400002,120.750000,119.000000,119.250000,119.250000,351814
