Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,73.949997,74.099998,73.449997,73.800003,73.800003,560441
2023-01-27,73.949997,74.099998,72.050003,72.500000,72.500000,1222389
2023-01-30,72.599998,73.599998,72.050003,72.349998,72.349998,909275
2023-01-31,72.550003,73.199997,71.750000,72.449997,72.449997,1893274
2023-02-01,72.699997,73.699997,71.750000,72.050003,72.050003,1654642
2023-02-02,72.000000,72.349998,71.349998,71.800003,71.800003,1274655
2023-02-03,71.949997,73.250000,71.400002,72.650002,72.650002,1468822
2023-02-06,73.000000,73.300003,72.250000,72.550003,72.550003,777769
2023-02-07,72.550003,73.250000,72.250000,73.099998,73.099998,1211990
2023-02-08,73.150002,74.300003,72.599998,73.099998,73.099998,2190252
2023-02-09,73.500000,73.699997,72.500000,72.800003,72.800003,1145665
2023-02-10,72.699997,73.650002,72.599998,73.449997,73.449997,690658
