Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,763.150024,766.950012,751.000000,751.150024,751.150024,86138
2023-01-27,757.950012,762.799988,751.250000,758.250000,758.250000,118825
2023-01-30,752.849976,758.500000,751.000000,751.150024,751.150024,95797
2023-01-31,753.799988,754.950012,748.150024,751.900024,751.900024,88893
2023-02-01,753.000000,759.000000,751.049988,754.750000,754.750000,81713
2023-02-02,758.500000,759.900024,748.049988,751.450012,751.450012,91055
2023-02-03,751.099976,754.900024,751.049988,752.750000,752.750000,79507
2023-02-06,751.900024,754.900024,750.500000,751.900024,751.900024,87964
2023-02-07,751.900024,754.900024,750.450012,751.099976,751.099976,86160
2023-02-08,753.750000,754.849976,750.400024,752.299988,752.299988,107737
2023-02-09,753.849976,755.349976,750.650024,751.500000,751.500000,93093
2023-02-10,754.000000,754.000000,750.150024,751.450012,751.450012,80271
