Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,496.399994,496.399994,481.299988,482.950012,482.950012,474645
2023-01-27,484.750000,495.549988,468.399994,474.950012,474.950012,595183
2023-01-30,472.500000,495.299988,471.899994,487.299988,487.299988,450064
2023-01-31,493.700012,514.900024,492.000000,511.950012,511.950012,1094748
2023-02-01,515.799988,522.450012,475.000000,484.049988,484.049988,1142679
2023-02-02,484.950012,503.000000,472.549988,485.149994,485.149994,820048
2023-02-03,489.549988,490.000000,469.100006,472.100006,472.100006,489987
2023-02-06,474.500000,483.649994,472.200012,478.149994,478.149994,373468
2023-02-07,480.549988,489.000000,476.000000,485.399994,485.399994,334603
2023-02-08,487.850006,498.549988,486.250000,494.500000,494.500000,510708
2023-02-09,493.000000,498.899994,481.000000,484.049988,484.049988,567029
2023-02-10,486.500000,489.000000,475.850006,478.649994,478.649994,623466
