Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1223.000000,1223.949951,1181.800049,1200.150024,1200.150024,52005
2023-01-27,1193.849976,1197.900024,1135.800049,1163.400024,1163.400024,105026
2023-01-30,1260.000000,1379.000000,1251.199951,1292.099976,1292.099976,1487832
2023-01-31,1314.000000,1427.000000,1301.250000,1392.500000,1392.500000,859992
2023-02-01,1413.900024,1478.000000,1315.550049,1361.699951,1361.699951,1051983
2023-02-02,1353.050049,1441.000000,1326.949951,1402.900024,1402.900024,357842
2023-02-03,1410.000000,1469.949951,1350.000000,1452.400024,1452.400024,453864
2023-02-06,1485.449951,1540.000000,1435.000000,1481.150024,1481.150024,829319
2023-02-07,1496.699951,1510.000000,1470.250000,1503.500000,1503.500000,346729
2023-02-08,1510.000000,1516.900024,1471.199951,1491.000000,1491.000000,233703
2023-02-09,1492.000000,1496.500000,1445.199951,1454.500000,1454.500000,181005
2023-02-10,1447.650024,1453.000000,1411.849976,1422.949951,1422.949951,163339
