Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,310.200012,316.950012,305.000000,306.450012,306.450012,515322
2023-01-27,308.000000,309.850006,291.000000,306.049988,306.049988,3077575
2023-01-30,305.899994,307.100006,295.000000,296.149994,296.149994,1033026
2023-01-31,303.000000,303.750000,295.899994,301.899994,301.899994,599557
2023-02-01,303.950012,307.399994,298.799988,305.000000,305.000000,1012247
2023-02-02,299.049988,310.950012,299.049988,306.100006,306.100006,473346
2023-02-03,306.950012,307.399994,294.500000,303.250000,303.250000,608445
2023-02-06,303.000000,320.350006,302.399994,317.450012,317.450012,908942
2023-02-07,317.950012,322.250000,314.250000,319.700012,319.700012,804349
2023-02-08,320.100006,326.000000,311.000000,321.299988,321.299988,1960838
2023-02-09,321.250000,325.850006,316.049988,318.250000,318.250000,1439019
2023-02-10,320.049988,320.850006,303.000000,315.450012,315.450012,1195770
