Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,323.399994,327.500000,309.000000,312.049988,312.049988,522770
2023-01-27,314.000000,322.000000,296.450012,296.549988,296.549988,524795
2023-01-30,294.950012,305.000000,282.100006,283.450012,283.450012,615205
2023-01-31,290.000000,297.600006,284.799988,297.600006,297.600006,477012
2023-02-01,308.899994,312.450012,282.750000,286.450012,286.450012,1408557
2023-02-02,283.750000,295.600006,274.000000,278.049988,278.049988,537675
2023-02-03,283.000000,290.700012,265.000000,274.250000,274.250000,1605989
2023-02-06,276.899994,286.000000,269.049988,276.100006,276.100006,572313
2023-02-07,276.700012,278.750000,263.000000,264.850006,264.850006,520082
2023-02-08,266.750000,269.000000,255.550003,257.500000,257.500000,550367
2023-02-09,260.000000,270.350006,257.149994,270.350006,270.350006,506486
2023-02-10,273.700012,283.850006,265.549988,272.750000,272.750000,933240
