Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,102.000000,102.000000,99.550003,100.900002,100.900002,12007717
2023-01-27,101.699997,102.650002,97.900002,99.150002,99.150002,13064056
2023-01-30,99.250000,99.900002,91.849998,94.949997,94.949997,29985336
2023-01-31,94.000000,97.800003,94.000000,95.150002,95.150002,24892166
2023-02-01,95.500000,98.000000,95.000000,96.050003,96.050003,19042474
2023-02-02,95.500000,96.400002,93.449997,93.900002,93.900002,17726153
2023-02-03,94.250000,94.300003,91.050003,92.800003,92.800003,18191035
2023-02-06,92.900002,95.099998,92.199997,94.849998,94.849998,14907237
2023-02-07,95.000000,96.250000,94.500000,96.000000,96.000000,8686792
2023-02-08,96.000000,96.400002,95.050003,95.800003,95.800003,5763070
2023-02-09,96.300003,96.300003,94.699997,95.849998,95.849998,6065233
2023-02-10,95.849998,96.250000,94.849998,95.849998,95.849998,9527603
