Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,630.500000,643.000000,627.500000,632.599976,625.211975,163673
2023-01-27,634.599976,649.500000,620.299988,626.950012,619.627991,120384
2023-01-30,623.849976,629.950012,611.000000,624.750000,617.453674,109270
2023-01-31,625.750000,647.500000,625.000000,641.549988,634.057434,126528
2023-02-01,660.000000,673.000000,616.000000,629.700012,622.345886,876560
2023-02-02,632.799988,650.000000,625.049988,638.900024,631.438416,192738
2023-02-03,641.250000,650.349976,631.650024,643.599976,636.083496,115430
2023-02-06,644.950012,648.500000,604.700012,609.950012,602.826538,258606
2023-02-07,609.950012,628.599976,609.950012,621.849976,614.587524,184649
2023-02-08,622.400024,643.799988,609.099976,627.950012,620.616272,301409
2023-02-09,625.000000,638.250000,614.000000,616.500000,609.299988,139909
2023-02-10,611.200012,626.849976,610.900024,619.599976,619.599976,114383
