Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,393.149994,394.549988,388.350006,390.200012,390.200012,48038
2023-01-27,392.000000,394.399994,375.000000,388.899994,388.899994,92734
2023-01-30,384.200012,388.850006,382.450012,385.799988,385.799988,43339
2023-01-31,386.350006,394.700012,383.149994,386.899994,386.899994,53572
2023-02-01,392.000000,392.000000,378.000000,380.100006,380.100006,72939
2023-02-02,382.000000,383.200012,377.799988,379.600006,379.600006,49210
2023-02-03,379.950012,381.450012,375.250000,376.299988,376.299988,66299
2023-02-06,376.299988,376.899994,374.399994,374.850006,374.850006,78516
2023-02-07,375.000000,382.000000,374.399994,376.950012,376.950012,88919
2023-02-08,376.950012,378.000000,374.700012,375.299988,375.299988,89763
2023-02-09,377.950012,390.100006,376.700012,382.649994,382.649994,89609
2023-02-10,386.500000,387.649994,376.899994,378.950012,378.950012,57440
