Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,460.000000,460.000000,450.100006,451.700012,451.700012,45020
2023-01-27,453.899994,455.950012,447.600006,453.399994,453.399994,62013
2023-01-30,455.799988,456.950012,447.000000,450.200012,450.200012,61966
2023-01-31,452.500000,453.950012,449.049988,450.500000,450.500000,62308
2023-02-01,453.649994,458.350006,445.000000,446.600006,446.600006,94047
2023-02-02,446.000000,450.000000,444.000000,446.250000,446.250000,41513
2023-02-03,447.750000,449.500000,443.549988,447.299988,447.299988,33680
2023-02-06,447.299988,452.000000,446.950012,448.950012,448.950012,42384
2023-02-07,451.250000,452.700012,447.000000,448.850006,448.850006,30770
2023-02-08,451.049988,455.250000,448.350006,449.799988,449.799988,77393
2023-02-09,462.000000,466.000000,451.000000,460.799988,460.799988,382079
2023-02-10,462.000000,463.200012,457.549988,458.000000,458.000000,44642
