Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,590.000000,591.750000,580.099976,585.049988,585.049988,1443501
2023-01-27,586.450012,593.900024,578.049988,587.700012,587.700012,3632289
2023-01-30,586.799988,592.349976,583.299988,587.950012,587.950012,2843943
2023-01-31,587.950012,589.500000,572.950012,578.849976,578.849976,3073978
2023-02-01,582.900024,584.650024,502.350006,515.700012,515.700012,22671272
2023-02-02,499.000000,505.250000,483.049988,492.700012,492.700012,17269387
2023-02-03,496.000000,499.000000,481.000000,488.899994,488.899994,10593983
2023-02-06,487.000000,489.750000,473.700012,482.049988,482.049988,7441590
2023-02-07,483.899994,491.500000,482.000000,482.950012,482.950012,7117626
2023-02-08,484.799988,510.299988,483.500000,508.549988,508.549988,10571918
2023-02-09,508.549988,522.700012,502.200012,518.650024,518.650024,9516815
2023-02-10,519.799988,528.400024,518.299988,522.549988,522.549988,7239045
