Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,127.800003,129.399994,126.800003,127.349998,127.349998,3001602
2023-01-27,127.449997,129.149994,121.949997,123.449997,123.449997,4401500
2023-01-30,123.000000,124.449997,120.199997,121.599998,121.599998,3351781
2023-01-31,121.550003,124.400002,120.550003,123.300003,123.300003,2755504
2023-02-01,123.900002,124.300003,115.250000,118.199997,118.199997,3521247
2023-02-02,116.000000,119.400002,115.400002,116.599998,116.599998,3211620
2023-02-03,117.099998,117.500000,106.050003,107.500000,107.500000,8680426
2023-02-06,107.000000,109.050003,105.000000,105.800003,105.800003,3556294
2023-02-07,105.599998,106.550003,103.250000,105.800003,105.800003,3328409
2023-02-08,106.000000,109.150002,104.900002,108.250000,108.250000,3910618
2023-02-09,108.550003,109.250000,106.250000,107.250000,107.250000,3015848
2023-02-10,106.800003,107.900002,105.599998,107.099998,107.099998,1645670
