Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,301.350006,302.000000,288.850006,291.450012,291.450012,3868054
2023-01-27,292.149994,293.350006,280.049988,286.450012,286.450012,2707115
2023-01-30,287.950012,297.299988,286.100006,291.299988,291.299988,6765564
2023-01-31,292.549988,305.000000,290.750000,301.000000,301.000000,12635485
2023-02-01,318.000000,330.450012,310.200012,326.700012,326.700012,29448497
2023-02-02,322.000000,327.899994,313.299988,318.000000,318.000000,7762880
2023-02-03,318.000000,320.399994,313.700012,318.250000,318.250000,3399231
2023-02-06,318.250000,319.700012,311.149994,314.750000,314.750000,3217356
2023-02-07,314.750000,317.450012,311.250000,316.450012,316.450012,2319895
2023-02-08,317.450012,320.000000,314.000000,318.450012,318.450012,3828635
2023-02-09,319.000000,322.100006,317.600006,319.649994,319.649994,2454873
2023-02-10,318.750000,325.000000,318.049988,323.750000,323.750000,2013698
