Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,292.399994,293.500000,282.600006,292.149994,292.149994,2311405
2023-01-27,293.500000,293.500000,277.500000,282.350006,282.350006,1802029
2023-01-30,282.350006,300.000000,278.500000,296.850006,296.850006,2264826
2023-01-31,297.000000,305.950012,291.350006,304.750000,304.750000,4686789
2023-02-01,306.000000,310.000000,273.649994,292.750000,292.750000,3044737
2023-02-02,293.000000,298.299988,290.000000,292.250000,292.250000,1611678
2023-02-03,293.299988,296.000000,285.149994,294.799988,294.799988,1865368
2023-02-06,295.100006,298.700012,290.500000,292.250000,292.250000,1320864
2023-02-07,292.350006,293.500000,285.950012,287.450012,287.450012,482672
2023-02-08,287.450012,289.700012,285.950012,287.500000,287.500000,855567
2023-02-09,289.000000,289.000000,284.000000,287.000000,287.000000,462099
2023-02-10,287.750000,291.899994,286.200012,289.850006,289.850006,1054284
