Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,422.799988,429.000000,405.600006,410.250000,410.250000,519381
2023-01-27,412.250000,419.700012,393.450012,401.299988,401.299988,614581
2023-01-30,403.399994,433.049988,393.899994,431.500000,431.500000,1328324
2023-01-31,427.100006,442.750000,420.299988,439.799988,439.799988,777253
2023-02-01,440.799988,446.899994,423.299988,428.899994,428.899994,342400
2023-02-02,430.399994,447.000000,427.000000,439.799988,439.799988,399151
2023-02-03,443.100006,444.450012,432.100006,437.100006,437.100006,380067
2023-02-06,430.000000,438.750000,415.049988,421.450012,421.450012,744965
2023-02-07,422.600006,445.649994,420.549988,441.200012,441.200012,1191125
2023-02-08,441.250000,464.350006,434.899994,461.850006,461.850006,1443441
2023-02-09,465.700012,469.450012,459.049988,465.600006,465.600006,813699
2023-02-10,467.000000,467.000000,451.350006,464.299988,464.299988,610872
