Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,338.899994,341.000000,335.250000,339.250000,339.250000,12497542
2023-01-27,341.799988,348.850006,341.500000,346.000000,346.000000,21040139
2023-01-30,346.899994,351.750000,341.850006,344.799988,344.799988,14091519
2023-01-31,346.000000,355.000000,341.049988,352.350006,352.350006,17134291
2023-02-01,353.000000,365.700012,329.100006,361.399994,361.399994,64518967
2023-02-02,361.600006,384.700012,360.399994,378.600006,378.600006,55745171
2023-02-03,381.899994,382.250000,372.000000,380.649994,380.649994,22295321
2023-02-06,382.500000,388.200012,379.600006,383.399994,383.399994,25790153
2023-02-07,383.899994,383.899994,368.450012,373.250000,373.250000,20643707
2023-02-08,374.750000,377.299988,371.549988,375.549988,375.549988,10420462
2023-02-09,374.000000,380.000000,372.149994,374.250000,374.250000,11861196
2023-02-10,372.200012,376.950012,370.299988,371.350006,371.350006,10278597
