Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,7.150000,7.250000,7.100000,7.150000,7.150000,16156728
2023-01-27,7.150000,7.250000,6.900000,6.950000,6.950000,33065234
2023-01-30,7.000000,7.150000,6.850000,6.900000,6.900000,21229578
2023-01-31,6.950000,7.300000,6.900000,7.150000,7.150000,26323678
2023-02-01,7.250000,7.300000,6.850000,6.950000,6.950000,28681189
2023-02-02,6.900000,7.100000,6.800000,6.900000,6.900000,26528604
2023-02-03,6.950000,7.000000,6.700000,6.800000,6.800000,30907250
2023-02-06,6.850000,7.050000,6.750000,7.000000,7.000000,17570695
2023-02-07,7.050000,7.200000,7.000000,7.150000,7.150000,26980989
2023-02-08,7.150000,7.250000,6.900000,7.000000,7.000000,17527390
2023-02-09,7.000000,7.200000,6.950000,7.050000,7.050000,15465554
2023-02-10,7.050000,7.200000,7.000000,7.050000,7.050000,14431172
