Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,253.199997,262.950012,253.199997,257.850006,257.850006,950307
2023-01-27,256.500000,262.000000,230.199997,257.049988,257.049988,1893727
2023-01-30,254.949997,257.500000,250.000000,254.050003,254.050003,855075
2023-01-31,251.750000,257.500000,251.199997,254.649994,254.649994,506175
2023-02-01,257.000000,272.600006,254.949997,262.049988,262.049988,1463267
2023-02-02,261.000000,267.000000,258.600006,265.500000,265.500000,714011
2023-02-03,266.000000,267.399994,261.000000,266.200012,266.200012,625824
2023-02-06,266.250000,268.950012,258.299988,263.200012,263.200012,531456
2023-02-07,263.250000,264.899994,257.000000,258.500000,258.500000,288889
2023-02-08,256.549988,264.000000,256.549988,262.750000,262.750000,294047
2023-02-09,261.950012,265.750000,258.450012,262.600006,262.600006,451377
2023-02-10,260.250000,264.200012,255.399994,257.350006,257.350006,500481
