Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,463.100006,471.700012,456.250000,459.299988,459.299988,240617
2023-01-27,460.950012,466.799988,418.200012,445.299988,445.299988,338987
2023-01-30,442.100006,459.299988,440.250000,455.250000,455.250000,176422
2023-01-31,456.950012,467.000000,447.200012,460.350006,460.350006,101197
2023-02-01,461.750000,483.100006,461.750000,473.549988,473.549988,207411
2023-02-02,474.450012,487.000000,474.000000,481.500000,481.500000,138520
2023-02-03,485.899994,486.500000,468.750000,476.950012,476.950012,74419
2023-02-06,481.799988,484.000000,474.850006,480.100006,480.100006,89421
2023-02-07,480.000000,482.049988,476.000000,479.799988,479.799988,125987
2023-02-08,478.000000,487.200012,475.049988,485.399994,485.399994,75385
2023-02-09,485.000000,485.000000,474.950012,479.350006,479.350006,101547
2023-02-10,479.350006,482.000000,471.799988,477.100006,477.100006,42729
