Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,108.800003,114.000000,108.500000,109.750000,109.750000,11753270
2023-01-27,110.199997,111.949997,102.099998,104.400002,104.400002,6253820
2023-01-30,103.300003,109.099998,103.099998,104.750000,104.750000,4092900
2023-01-31,104.500000,108.900002,103.050003,107.199997,107.199997,4839245
2023-02-01,108.000000,109.500000,103.000000,104.500000,104.500000,3262469
2023-02-02,103.599998,108.400002,103.550003,107.349998,107.349998,2973986
2023-02-03,108.500000,111.150002,105.550003,105.900002,105.900002,4846653
2023-02-06,106.449997,107.050003,105.400002,106.750000,106.750000,2271851
2023-02-07,107.199997,108.750000,106.699997,107.550003,107.550003,1534596
2023-02-08,107.250000,108.300003,105.000000,105.349998,105.349998,1489484
2023-02-09,105.500000,106.500000,104.050003,104.300003,104.300003,1265904
2023-02-10,104.400002,104.900002,102.699997,104.000000,104.000000,1096137
