Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,700.849976,715.599976,687.750000,707.000000,705.745605,908511
2023-01-27,706.950012,717.849976,688.450012,697.400024,696.162659,986918
2023-01-30,700.000000,724.849976,688.099976,709.299988,708.041504,1172465
2023-01-31,709.299988,772.349976,701.700012,762.900024,761.546448,4110246
2023-02-01,775.000000,779.000000,734.349976,742.599976,741.282410,2995906
2023-02-02,742.599976,813.000000,740.650024,787.500000,786.102783,6672636
2023-02-03,785.000000,800.950012,770.700012,778.349976,776.968994,2260046
2023-02-06,784.000000,819.549988,773.099976,776.299988,774.922607,3855942
2023-02-07,779.900024,791.950012,775.200012,778.849976,777.468079,1266458
2023-02-08,780.000000,810.000000,778.250000,803.200012,801.774963,2132640
2023-02-09,807.250000,830.000000,806.049988,817.250000,815.799988,2842171
2023-02-10,817.950012,860.000000,815.000000,855.450012,855.450012,3862427
