Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,515.299988,517.750000,508.049988,512.450012,512.450012,76474
2023-01-27,513.000000,518.700012,505.950012,516.400024,516.400024,154253
2023-01-30,513.049988,521.049988,509.000000,513.549988,513.549988,99831
2023-01-31,511.000000,532.000000,511.000000,528.799988,528.799988,138095
2023-02-01,529.299988,538.400024,517.299988,523.349976,523.349976,177689
2023-02-02,521.400024,536.549988,518.299988,525.150024,525.150024,93837
2023-02-03,527.900024,533.950012,525.150024,530.849976,530.849976,93799
2023-02-06,530.849976,539.549988,518.000000,533.950012,533.950012,432804
2023-02-07,529.549988,543.750000,525.500000,536.049988,536.049988,340557
2023-02-08,535.000000,561.000000,527.549988,559.400024,559.400024,360063
2023-02-09,560.000000,595.950012,550.000000,581.349976,581.349976,915842
2023-02-10,581.000000,593.799988,571.000000,580.750000,580.750000,422452
