Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,11068.200195,11349.000000,10900.000000,11113.549805,11113.549805,4492
2023-01-27,11108.349609,11143.950195,10850.000000,11103.950195,11103.950195,4507
2023-01-30,11003.000000,11252.000000,10822.250000,10873.900391,10873.900391,3122
2023-01-31,10890.000000,11349.000000,10890.000000,11282.400391,11282.400391,5936
2023-02-01,11300.000000,11826.250000,11299.950195,11441.099609,11441.099609,6162
2023-02-02,11727.099609,11777.500000,11068.049805,11422.400391,11422.400391,13611
2023-02-03,11447.000000,11567.000000,11270.250000,11466.799805,11466.799805,3497
2023-02-06,11466.799805,11558.700195,11333.849609,11445.549805,11445.549805,2116
2023-02-07,11402.000000,11730.000000,11379.549805,11678.299805,11678.299805,3399
2023-02-08,11670.000000,11899.950195,11624.650391,11831.799805,11831.799805,3965
2023-02-09,11830.950195,11886.799805,11370.950195,11430.400391,11430.400391,4282
2023-02-10,11285.049805,11600.000000,11285.049805,11405.700195,11405.700195,1959
