Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1324.900024,1332.000000,1306.050049,1311.500000,1311.500000,1359090
2023-01-27,1318.099976,1339.800049,1286.650024,1320.199951,1320.199951,1914769
2023-01-30,1320.099976,1342.000000,1305.000000,1331.599976,1331.599976,2402331
2023-01-31,1350.300049,1385.500000,1335.300049,1378.750000,1378.750000,5265862
2023-02-01,1386.550049,1390.000000,1322.000000,1352.050049,1352.050049,3010838
2023-02-02,1348.050049,1378.199951,1330.500000,1352.400024,1352.400024,2029111
2023-02-03,1359.199951,1391.949951,1350.550049,1388.000000,1388.000000,1803085
2023-02-06,1391.900024,1391.900024,1360.000000,1376.000000,1376.000000,1504382
2023-02-07,1382.900024,1385.000000,1361.000000,1366.699951,1366.699951,1413825
2023-02-08,1373.550049,1380.000000,1360.000000,1373.050049,1373.050049,1241238
2023-02-09,1372.000000,1386.000000,1363.000000,1372.199951,1372.199951,1866387
2023-02-10,1378.550049,1386.949951,1350.800049,1365.449951,1365.449951,3282665
