Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,234.149994,234.899994,228.350006,229.649994,229.649994,1704055
2023-01-27,230.800003,231.050003,223.199997,225.500000,225.500000,1750331
2023-01-30,223.000000,227.850006,222.899994,225.550003,225.550003,3505644
2023-01-31,227.800003,234.199997,224.500000,232.750000,232.750000,4653909
2023-02-01,235.500000,244.350006,226.000000,233.850006,233.850006,4813852
2023-02-02,234.300003,240.300003,232.000000,237.800003,237.800003,3316738
2023-02-03,239.149994,247.850006,234.000000,243.600006,243.600006,4704672
2023-02-06,253.000000,268.799988,250.050003,261.850006,261.850006,21408885
2023-02-07,261.600006,268.299988,260.299988,267.450012,267.450012,6302359
2023-02-08,266.700012,270.250000,264.649994,269.049988,269.049988,3975227
2023-02-09,266.149994,271.450012,266.149994,270.399994,270.399994,4055214
2023-02-10,269.899994,272.000000,264.549988,265.049988,265.049988,3005491
