Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,73.800003,73.900002,71.900002,72.650002,72.650002,7170245
2023-01-27,72.599998,73.300003,70.300003,71.599998,71.599998,12933536
2023-01-30,71.599998,73.400002,70.550003,73.099998,73.099998,12691401
2023-01-31,73.500000,76.699997,73.349998,75.500000,75.500000,15933228
2023-02-01,75.900002,76.250000,72.599998,74.099998,74.099998,8969452
2023-02-02,73.800003,75.400002,72.699997,74.949997,74.949997,14166738
2023-02-03,75.300003,77.000000,74.599998,75.900002,75.900002,14447927
2023-02-06,75.900002,79.000000,75.300003,78.599998,78.599998,14736020
2023-02-07,78.599998,80.599998,78.400002,80.099998,80.099998,26099433
2023-02-08,80.099998,81.449997,79.000000,80.750000,80.750000,27927610
2023-02-09,81.949997,81.949997,78.400002,79.300003,79.300003,25243262
2023-02-10,79.449997,81.150002,79.099998,80.199997,80.199997,13721987
