Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,90300.000000,90436.000000,88429.601563,89571.750000,89571.750000,5737
2023-01-27,89640.000000,89665.750000,86911.351563,88261.101563,88261.101563,9731
2023-01-30,88360.000000,90207.000000,88062.750000,89263.898438,89263.898438,7747
2023-01-31,89500.000000,91090.000000,89405.046875,90869.398438,90869.398438,11151
2023-02-01,91000.000000,92950.000000,90722.546875,91961.453125,91961.453125,11990
2023-02-02,91700.000000,93000.000000,91052.648438,92817.351563,92817.351563,7087
2023-02-03,93449.000000,93449.000000,91450.000000,92853.351563,92853.351563,8666
2023-02-06,92785.000000,93241.453125,92211.546875,92677.851563,92677.851563,6467
2023-02-07,92600.000000,92700.000000,91550.000000,91739.851563,91739.851563,5791
2023-02-08,91630.000000,92484.851563,90739.851563,92275.648438,92275.648438,5787
2023-02-09,92275.000000,93100.000000,87351.000000,88813.046875,88813.046875,36042
2023-02-10,89000.000000,89976.898438,88125.648438,89070.898438,89070.898438,10500
