Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,245.300003,245.449997,241.000000,241.750000,241.750000,151035
2023-01-27,243.000000,244.199997,239.199997,241.100006,241.100006,254209
2023-01-30,242.000000,243.500000,233.000000,235.399994,235.399994,300611
2023-01-31,240.000000,254.000000,236.800003,248.949997,248.949997,520167
2023-02-01,248.000000,251.000000,238.100006,239.800003,239.800003,354484
2023-02-02,239.800003,242.100006,233.399994,235.149994,235.149994,308116
2023-02-03,235.949997,237.949997,228.649994,230.600006,230.600006,385888
2023-02-06,231.000000,232.000000,226.800003,228.000000,228.000000,439328
2023-02-07,229.199997,230.000000,219.399994,219.949997,219.949997,1037667
2023-02-08,221.100006,225.649994,221.050003,224.600006,224.600006,1171324
2023-02-09,225.600006,225.600006,222.399994,222.750000,222.750000,291724
2023-02-10,224.000000,225.050003,221.000000,223.500000,223.500000,1321218
