Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,91.800003,91.800003,88.050003,90.150002,90.150002,4592687
2023-01-27,90.199997,92.000000,83.599998,85.050003,85.050003,5804554
2023-01-30,85.250000,86.800003,84.400002,86.349998,86.349998,3623251
2023-01-31,86.800003,91.250000,86.500000,90.199997,90.199997,3949853
2023-02-01,91.250000,94.400002,87.599998,89.550003,89.550003,13670434
2023-02-02,89.550003,93.449997,89.250000,92.449997,92.449997,6672049
2023-02-03,92.449997,93.400002,89.000000,92.449997,92.449997,5970766
2023-02-06,92.949997,92.949997,91.000000,91.650002,91.650002,2444089
2023-02-07,92.050003,95.949997,91.699997,93.599998,93.599998,13913873
2023-02-08,94.000000,95.400002,93.599998,94.500000,94.500000,4580657
2023-02-09,96.949997,98.000000,92.199997,92.900002,92.900002,11750748
2023-02-10,93.300003,95.000000,92.800003,93.800003,93.800003,4021496
