Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,19349.000000,19350.500000,19150.000000,19235.500000,19235.500000,41160
2023-01-27,19260.050781,19394.000000,19026.050781,19216.349609,19216.349609,44777
2023-01-30,19206.000000,19213.650391,18978.000000,19165.900391,19165.900391,49830
2023-01-31,19200.000000,19200.000000,18929.000000,19017.750000,19017.750000,117500
2023-02-01,19100.000000,19177.050781,18915.250000,19089.849609,19089.849609,68805
2023-02-02,19129.000000,19129.000000,18850.500000,18954.599609,18954.599609,70922
2023-02-03,19005.400391,19054.650391,18770.099609,19004.300781,19004.300781,55578
2023-02-06,19000.000000,19060.000000,18754.300781,19021.500000,19021.500000,69134
2023-02-07,19024.000000,19099.900391,18880.000000,18978.000000,18978.000000,39873
2023-02-08,18950.000000,19064.849609,18890.150391,18994.900391,18994.900391,23267
2023-02-09,18999.000000,19084.349609,18950.849609,19000.300781,19000.300781,34734
2023-02-10,19010.000000,19070.150391,18875.050781,19023.849609,19023.849609,26383
