Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,726.950012,729.000000,717.000000,724.150024,724.150024,25378
2023-01-27,722.000000,733.650024,717.000000,721.799988,721.799988,99785
2023-01-30,723.900024,735.900024,715.849976,723.299988,723.299988,76164
2023-01-31,725.299988,735.000000,721.250000,726.400024,726.400024,75140
2023-02-01,733.099976,743.000000,710.200012,712.150024,712.150024,102922
2023-02-02,712.150024,744.599976,710.299988,721.599976,721.599976,152540
2023-02-03,721.599976,729.549988,712.450012,714.799988,714.799988,92576
2023-02-06,712.450012,728.849976,711.849976,724.299988,724.299988,61558
2023-02-07,725.599976,733.349976,724.750000,731.150024,731.150024,138711
2023-02-08,731.500000,733.400024,720.500000,726.849976,726.849976,95526
2023-02-09,734.150024,739.000000,720.150024,724.049988,724.049988,432463
2023-02-10,731.299988,731.299988,712.000000,719.099976,719.099976,81400
