Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,43.349998,43.900002,42.700001,43.700001,43.700001,9572483
2023-01-27,43.700001,44.400002,42.799999,43.200001,43.200001,23094255
2023-01-30,43.450001,43.650002,42.700001,43.349998,43.349998,15328264
2023-01-31,43.500000,44.200001,43.200001,43.900002,43.900002,11448791
2023-02-01,44.299999,44.349998,42.000000,42.400002,42.400002,11853979
2023-02-02,42.450001,43.500000,40.900002,41.750000,41.750000,11552133
2023-02-03,41.900002,42.400002,40.450001,41.000000,41.000000,12164558
2023-02-06,41.250000,41.400002,40.900002,41.150002,41.150002,5174828
2023-02-07,41.400002,41.799999,39.750000,40.200001,40.200001,7830467
2023-02-08,40.150002,40.299999,39.849998,40.150002,40.150002,9835460
2023-02-09,40.299999,40.950001,39.849998,40.750000,40.750000,7944176
2023-02-10,40.400002,40.750000,40.000000,40.000000,40.000000,5075707
