Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,124.400002,125.500000,123.099998,123.849998,123.849998,7045182
2023-01-27,124.250000,125.000000,120.800003,122.949997,122.949997,4443937
2023-01-30,123.550003,125.849998,121.550003,122.400002,122.400002,8539756
2023-01-31,123.449997,125.449997,122.599998,123.150002,123.150002,6372688
2023-02-01,124.900002,124.949997,118.800003,120.949997,120.949997,7048520
2023-02-02,120.800003,122.150002,118.300003,119.599998,119.599998,4782144
2023-02-03,120.750000,121.000000,116.500000,118.650002,118.650002,4783408
2023-02-06,118.650002,120.099998,118.099998,119.050003,119.050003,3097875
2023-02-07,119.650002,119.650002,115.750000,117.699997,117.699997,5540403
2023-02-08,118.300003,121.099998,117.449997,120.449997,120.449997,3734331
2023-02-09,120.900002,122.000000,119.250000,119.900002,119.900002,2702948
2023-02-10,119.900002,119.900002,118.300003,118.800003,118.800003,2189875
