Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,220.699997,221.250000,217.800003,219.399994,214.341202,4342749
2023-01-27,219.300003,221.449997,217.000000,219.250000,214.194672,7843953
2023-01-30,218.000000,218.850006,210.550003,211.850006,206.965302,18216133
2023-01-31,212.600006,220.199997,212.149994,216.649994,211.654602,15748160
2023-02-01,225.000000,225.000000,213.600006,216.550003,211.556915,15184777
2023-02-02,216.000000,217.100006,211.350006,212.699997,207.795685,9615498
2023-02-03,213.199997,215.149994,210.399994,214.850006,209.896118,8111765
2023-02-06,213.449997,217.350006,213.050003,217.050003,212.045395,5211151
2023-02-07,218.000000,218.199997,215.100006,216.850006,211.850006,7526645
2023-02-08,212.850006,213.250000,210.449997,212.000000,212.000000,9324540
2023-02-09,212.000000,213.949997,212.000000,212.850006,212.850006,5258312
2023-02-10,211.899994,214.449997,211.850006,214.100006,214.100006,8169120
