Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,3121.149902,3158.350098,3087.449951,3121.649902,3121.649902,6912
2023-01-27,3123.500000,3138.949951,2966.050049,3018.550049,3018.550049,18341
2023-01-30,3034.399902,3079.750000,2980.100098,3025.149902,3025.149902,19034
2023-01-31,3020.350098,3146.800049,3013.149902,3103.699951,3103.699951,12993
2023-02-01,3112.000000,3230.100098,3058.199951,3146.600098,3146.600098,12972
2023-02-02,3118.000000,3163.199951,3065.500000,3084.300049,3084.300049,5359
2023-02-03,3087.149902,3088.800049,3020.000000,3049.800049,3049.800049,7767
2023-02-06,3065.000000,3153.000000,3035.000000,3108.500000,3108.500000,8775
2023-02-07,2951.000000,3021.550049,2922.000000,3002.350098,3002.350098,129621
2023-02-08,3005.050049,3005.050049,2925.949951,2953.550049,2953.550049,77975
2023-02-09,2945.000000,3020.000000,2905.850098,3001.500000,3001.500000,19286
2023-02-10,3006.600098,3075.000000,2991.750000,3038.649902,3038.649902,18587
