Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1685.000000,1685.000000,1627.099976,1664.300049,1664.300049,1108699
2023-01-27,1676.849976,1755.500000,1669.550049,1739.800049,1739.800049,1150354
2023-01-30,1740.000000,1740.000000,1631.300049,1691.500000,1691.500000,1173929
2023-01-31,1688.050049,1710.650024,1665.349976,1697.599976,1697.599976,631620
2023-02-01,1700.099976,1725.000000,1641.000000,1657.900024,1657.900024,416273
2023-02-02,1664.000000,1697.349976,1642.150024,1680.150024,1680.150024,241082
2023-02-03,1680.150024,1718.550049,1680.150024,1691.949951,1691.949951,372284
2023-02-06,1689.050049,1711.199951,1675.000000,1682.500000,1682.500000,229189
2023-02-07,1687.000000,1705.000000,1675.000000,1681.000000,1681.000000,394151
2023-02-08,1682.000000,1702.900024,1679.000000,1691.550049,1691.550049,298880
2023-02-09,1690.050049,1692.750000,1659.949951,1683.500000,1683.500000,182524
2023-02-10,1680.000000,1716.300049,1680.000000,1698.750000,1698.750000,558715
