Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,676.650024,678.700012,665.799988,670.299988,670.299988,305396
2023-01-27,670.299988,674.900024,642.049988,651.799988,651.799988,235402
2023-01-30,651.049988,675.750000,646.849976,655.000000,655.000000,267002
2023-01-31,655.000000,679.950012,654.900024,675.700012,675.700012,226524
2023-02-01,676.000000,699.950012,666.099976,677.150024,677.150024,354607
2023-02-02,677.150024,694.900024,668.849976,681.799988,681.799988,191139
2023-02-03,683.799988,688.900024,669.099976,683.200012,683.200012,221276
2023-02-06,683.200012,693.500000,679.299988,683.500000,683.500000,204570
2023-02-07,684.000000,734.700012,670.799988,701.200012,701.200012,1234940
2023-02-08,704.650024,735.700012,701.150024,730.349976,730.349976,760772
2023-02-09,726.049988,738.700012,721.000000,724.049988,724.049988,373232
2023-02-10,720.000000,737.000000,707.599976,734.200012,734.200012,310663
