Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,122.900002,123.199997,119.599998,120.500000,117.259415,10632753
2023-01-27,120.500000,120.949997,112.050003,115.150002,112.053291,17188911
2023-01-30,115.300003,118.550003,114.750000,115.949997,112.831772,7768757
2023-01-31,116.150002,122.099998,114.000000,121.750000,118.475800,13672983
2023-02-01,122.900002,123.000000,115.949997,117.449997,114.291435,14504365
2023-02-02,117.400002,120.250000,116.250000,117.750000,114.583366,7459937
2023-02-03,118.250000,119.000000,115.500000,118.750000,115.556473,6938807
2023-02-06,119.349998,121.500000,119.000000,121.099998,117.843277,8742504
2023-02-07,121.449997,123.349998,120.199997,120.599998,117.356720,9355097
2023-02-08,121.250000,121.500000,119.750000,120.849998,117.599998,7409779
2023-02-09,117.550003,118.550003,115.949997,117.300003,117.300003,6545269
2023-02-10,117.000000,118.199997,116.500000,117.000000,117.000000,3526586
