Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,5626.950195,5637.200195,5599.000000,5626.850098,5626.850098,4561
2023-01-27,5638.000000,5638.000000,5550.450195,5585.950195,5585.950195,8039
2023-01-30,5619.899902,5619.899902,5511.200195,5518.299805,5518.299805,10843
2023-01-31,5524.950195,5542.399902,5475.299805,5498.649902,5498.649902,17566
2023-02-01,5499.000000,5527.149902,5425.049805,5448.049805,5448.049805,11514
2023-02-02,5448.049805,5450.149902,5400.049805,5408.200195,5408.200195,7915
2023-02-03,5415.000000,5433.899902,5343.200195,5353.600098,5353.600098,12092
2023-02-06,5360.000000,5369.950195,5291.000000,5300.250000,5300.250000,10580
2023-02-07,5314.950195,5340.000000,5250.100098,5329.299805,5329.299805,33705
2023-02-08,5334.899902,5379.950195,5202.100098,5309.500000,5309.500000,20175
2023-02-09,5285.000000,5336.350098,5285.000000,5315.600098,5315.600098,6740
2023-02-10,5304.049805,5425.000000,5304.049805,5353.799805,5353.799805,9933
