Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,9.650000,9.750000,9.400000,9.500000,9.500000,47479501
2023-01-27,9.500000,9.700000,8.950000,9.100000,9.100000,96786728
2023-01-30,9.000000,9.350000,8.800000,8.950000,8.950000,94496123
2023-01-31,9.000000,9.950000,8.900000,9.800000,9.800000,122433631
2023-02-01,10.100000,10.200000,8.900000,9.200000,9.200000,144996475
2023-02-02,9.150000,9.600000,9.050000,9.200000,9.200000,86094874
2023-02-03,9.200000,9.300000,8.700000,9.050000,9.050000,103617993
2023-02-06,9.050000,9.250000,9.000000,9.050000,9.050000,45864843
2023-02-07,9.050000,9.150000,8.900000,8.950000,8.950000,35950091
2023-02-08,9.050000,9.250000,8.950000,9.000000,9.000000,47849321
2023-02-09,9.000000,9.350000,8.950000,9.200000,9.200000,72874809
2023-02-10,9.300000,9.650000,9.050000,9.150000,9.150000,71596394
