Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,740.349976,742.500000,731.200012,740.049988,740.049988,868627
2023-01-27,740.049988,745.900024,725.700012,735.250000,735.250000,772860
2023-01-30,736.000000,740.349976,727.549988,735.650024,735.650024,1295677
2023-01-31,736.000000,739.400024,725.049988,729.500000,729.500000,2189899
2023-02-01,737.250000,748.400024,731.250000,740.799988,740.799988,933031
2023-02-02,738.799988,742.750000,732.799988,737.150024,737.150024,704702
2023-02-03,737.150024,741.000000,720.450012,726.599976,726.599976,1752697
2023-02-06,728.400024,732.500000,721.000000,729.750000,729.750000,852170
2023-02-07,731.799988,734.950012,722.000000,728.200012,728.200012,1244247
2023-02-08,731.849976,731.849976,721.099976,724.400024,724.400024,1521104
2023-02-09,724.500000,726.349976,720.799988,721.950012,721.950012,688243
2023-02-10,722.000000,728.000000,719.150024,726.599976,726.599976,651630
