Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,218.000000,220.000000,210.000000,215.300003,215.300003,2109322
2023-01-27,225.000000,232.500000,221.050003,225.149994,225.149994,10389307
2023-01-30,224.699997,227.399994,220.500000,223.500000,223.500000,2563992
2023-01-31,224.050003,232.500000,222.100006,230.750000,230.750000,4010558
2023-02-01,232.500000,233.600006,221.250000,225.000000,225.000000,4157417
2023-02-02,226.699997,227.000000,222.050003,226.399994,226.399994,2289206
2023-02-03,227.550003,228.350006,221.899994,223.800003,223.800003,2524834
2023-02-06,223.800003,226.000000,221.800003,225.149994,225.149994,1973015
2023-02-07,224.800003,225.000000,220.100006,221.699997,221.699997,1323611
2023-02-08,222.199997,223.000000,220.100006,222.000000,222.000000,1283537
2023-02-09,221.399994,223.399994,220.250000,221.399994,221.399994,1072163
2023-02-10,220.899994,226.000000,219.649994,224.600006,224.600006,1611650
