Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,2619.000000,2633.399902,2555.550049,2570.149902,2570.149902,53848
2023-01-27,2587.899902,2685.800049,2533.550049,2665.750000,2665.750000,236919
2023-01-30,2660.000000,2660.000000,2528.000000,2586.899902,2586.899902,337970
2023-01-31,2610.000000,2621.949951,2591.000000,2609.949951,2609.949951,171822
2023-02-01,2610.149902,2631.699951,2541.899902,2616.899902,2616.899902,149585
2023-02-02,2602.000000,2740.000000,2545.000000,2689.850098,2689.850098,198161
2023-02-03,2697.000000,2734.149902,2591.350098,2689.750000,2689.750000,152600
2023-02-06,2674.000000,2694.850098,2577.000000,2672.050049,2672.050049,181664
2023-02-07,2665.000000,2686.449951,2567.000000,2584.199951,2584.199951,128061
2023-02-08,2576.750000,2596.949951,2506.000000,2545.000000,2545.000000,180524
2023-02-09,2544.949951,2558.399902,2511.000000,2517.949951,2517.949951,76080
2023-02-10,2524.500000,2585.949951,2519.000000,2554.550049,2554.550049,94059
