Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,480.000000,482.950012,475.100006,479.000000,479.000000,51735
2023-01-27,480.000000,480.000000,468.000000,472.750000,472.750000,49734
2023-01-30,473.250000,475.049988,467.000000,469.700012,469.700012,34753
2023-01-31,478.799988,478.799988,468.000000,470.100006,470.100006,42854
2023-02-01,475.500000,477.799988,468.299988,470.399994,470.399994,27042
2023-02-02,475.000000,475.000000,465.299988,469.350006,469.350006,31302
2023-02-03,470.500000,472.350006,466.200012,470.399994,470.399994,22201
2023-02-06,470.399994,475.399994,467.299988,472.000000,472.000000,21665
2023-02-07,470.000000,472.549988,460.399994,461.200012,461.200012,104966
2023-02-08,465.000000,469.450012,462.000000,465.049988,465.049988,198703
2023-02-09,469.500000,469.500000,454.000000,455.149994,455.149994,147619
2023-02-10,457.000000,460.899994,451.250000,458.899994,458.899994,484995
