Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,1244.599976,1250.000000,1231.000000,1239.650024,1239.650024,428732
2023-01-27,1242.949951,1251.300049,1210.050049,1242.550049,1242.550049,903154
2023-01-30,1245.000000,1245.000000,1175.000000,1194.550049,1194.550049,1401997
2023-01-31,1206.500000,1206.500000,1140.000000,1146.250000,1146.250000,2069289
2023-02-01,1159.449951,1184.000000,1131.500000,1172.849976,1172.849976,2007980
2023-02-02,1169.849976,1176.949951,1124.300049,1153.949951,1153.949951,1735600
2023-02-03,1153.900024,1174.000000,1100.000000,1154.900024,1154.900024,2436799
2023-02-06,1153.449951,1238.800049,1140.000000,1221.849976,1221.849976,3266668
2023-02-07,1235.099976,1314.849976,1235.099976,1304.099976,1304.099976,3886822
2023-02-08,1308.000000,1351.000000,1297.550049,1310.500000,1310.500000,2044056
2023-02-09,1344.949951,1344.949951,1260.250000,1273.699951,1273.699951,1388222
2023-02-10,1239.000000,1285.000000,1225.000000,1271.800049,1271.800049,1191468
