Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,405.000000,405.899994,400.000000,401.549988,401.549988,3177777
2023-01-27,401.549988,403.600006,394.200012,398.049988,398.049988,3705067
2023-01-30,398.049988,404.799988,395.049988,402.250000,402.250000,3630628
2023-01-31,402.299988,402.549988,397.700012,398.850006,398.850006,4783423
2023-02-01,401.500000,403.899994,398.350006,402.399994,402.399994,3514948
2023-02-02,402.399994,410.000000,402.399994,409.450012,409.450012,5417730
2023-02-03,412.549988,413.000000,406.149994,407.899994,407.899994,4425118
2023-02-06,405.399994,406.200012,401.600006,404.649994,404.649994,2979011
2023-02-07,405.500000,405.500000,399.049988,400.500000,400.500000,3341790
2023-02-08,401.000000,407.600006,401.000000,406.750000,406.750000,4150488
2023-02-09,406.750000,408.950012,403.549988,408.299988,408.299988,2638687
2023-02-10,407.000000,407.000000,402.799988,405.799988,405.799988,2580070
